Title,Description,Year,Image,Source
US Enters World War II,US enters World War II following attacks on Pearl Harbor,1941,,
World War II Ends,,1945,,
McCarthyism begins,,1950,https://cdn8.openculture.com/wp-content/uploads/2014/11/Cold-War-Ads-The-Red-Menace.jpg,
Brown v. Board of Education,,1954,"https://i.kinja-img.com/image/upload/c_fill,h_900,q_60,w_1600/ea0aece4eb3336f6b031b57becaf01d2.jpg",
Civil Rights Act,,1957,,
Vietnam War Begins,,1961,,
Gideon v. Wainwright,,1963,,
Miranda v. Arizona,,1966,,
Political Violence,"Marked by the assasinations of MLK, JFK, and violence against anti-war protestors in Chicago",1968,,
Roe v. Wade,,1973,,
First Female Justice,Sandra Day O'Connor becomes the first woman on the U.S. Supreme Court,1981,,
The Patriot Act,"Patriot Act, increasing law enforcement agencies' ability to conduct searches in cases of suspected terrorism. Agencies were enforced",2001,,
Obergefell v. Hodges,same-sex marriage is legalized nationwide,2015,,
